Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
50112,Adaptation.,2002,4.1,322042,98372,115,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",English,['USA'],['Spike Jonze'],"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton', 'Jay Tavare']"
947030,Monster,2023,4.3,199065,95269,125,"Are they the ones we dream of, or the ones we fail to see among us?",Japanese,['Japan'],['Hirokazu Kore-eda'],"['Sakura Ando', 'Eita Nagayama', 'Soya Kurokawa', 'Hinata Hiiragi', 'Yûko Tanaka']"
641574,Lightyear,2022,2.9,391233,62260,105,Infinity awaits.,English,['USA'],['Angus MacLane'],"['Chris Evans', 'Keke Palmer', 'Peter Sohn', 'Taika Waititi', 'Dale Soules']"
51855,Braveheart,1995,3.9,546110,107592,177,Every man dies. Not every man truly lives.,English,['USA'],['Mel Gibson'],"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
518788,Fear Street: 1978,2021,3.4,436847,111732,110,Find the truth.,English,['USA'],['Leigh Janiak'],"['Sadie Sink', 'Emily Rudd', 'Ryan Simpkins', 'McCabe Slye', 'Ted Sutherland']"
2698,Metropolis,1927,4.3,283044,81949,153,There can be no understanding between the hands and the brain unless the heart acts as mediator.,No spoken language,['Germany'],['Fritz Lang'],"['Gustav Fröhlich', 'Brigitte Helm', 'Alfred Abel', 'Rudolf Klein-Rogge', 'Theodor Loos']"
307239,Hunt for the Wilderpeople,2016,4.1,379094,136420,101,Nature just got gangster,English,"['New Zealand', 'UK', 'USA']",['Taika Waititi'],"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House', 'Tioreore Ngatai-Melbourne']"
227785,Don’t Breathe,2016,3.3,542900,95471,89,"This house looked like an easy target, until they found out what was inside.",English,['USA'],['Fede Álvarez'],"['Stephen Lang', 'Jane Levy', 'Dylan Minnette', 'Daniel Zovatto', 'Emma Bercovici']"
51486,Lost Highway,1997,4.0,276958,92172,134,,English,"['France', 'USA']",['David Lynch'],"['Bill Pullman', 'Patricia Arquette', 'Balthazar Getty', 'Robert Blake', 'Robert Loggia']"
434913,Death on the Nile,2022,2.7,409252,50093,127,Murder was just the beginning.,English,"['UK', 'USA']",['Kenneth Branagh'],"['Kenneth Branagh', 'Tom Bateman', 'Annette Bening', 'Russell Brand', 'Ali Fazal']"
98336,Godzilla,2014,,,,123,"The world ends, Godzilla begins.",English,['USA'],['Gareth Edwards'],"['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Juliette Binoche', 'Bryan Cranston', 'Ken Watanabe']"
51984,8 Mile,2002,3.6,585170,116239,111,Every moment is another chance,English,"['Germany', 'USA']",['Curtis Hanson'],"['Eminem', 'Kim Basinger', 'Mekhi Phifer', 'Brittany Murphy', 'Evan Jones']"
3519,The Skin I Live In,2011,3.8,319741,80200,120,,Spanish,['Spain'],['Pedro Almodóvar'],"['Antonio Banderas', 'Elena Anaya', 'Marisa Paredes', 'Jan Cornet', 'Roberto Álamo']"
47637,Anchorman: The Legend of Ron Burgundy,2004,3.5,630647,124143,95,They bring you the news so you don’t have to get it yourself.,English,['USA'],['Adam McKay'],"['Will Ferrell', 'Christina Applegate', 'Paul Rudd', 'Steve Carell', 'David Koechner']"
77748,Despicable Me 2,2013,3.1,868039,98535,98,Back 2 Work,English,['USA'],"['Pierre Coffin', 'Chris Renaud']","['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt', 'Miranda Cosgrove', 'Russell Brand']"
444799,Yesterday,2019,2.9,500736,75526,116,Everyone in the world has forgotten The Beatles. Everyone except Jack…,English,"['UK', 'USA']",['Danny Boyle'],"['Himesh Patel', 'Lily James', 'Sophia di Martino', 'Ellise Chappell', 'Meera Syal']"
2684,The Simpsons Movie,2007,3.4,782823,122300,87,See our family. And feel better about yours.,English,['USA'],['David Silverman'],"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria']"
887650,Theater Camp,2023,3.8,246039,89484,93,You only fit in by acting out.,English,['USA'],"['Molly Gordon', 'Nick Lieberman']","['Ben Platt', 'Molly Gordon', 'Noah Galvin', 'Jimmy Tatro', 'Caroline Aaron']"
